Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_1 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_10 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_3 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_5 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_1 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_10 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_3 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_5 Docs,roberta-base_q_a_256_roberta-base_q_a_256_1 Docs,roberta-base_q_a_256_roberta-base_q_a_256_10 Docs,roberta-base_q_a_256_roberta-base_q_a_256_3 Docs,roberta-base_q_a_256_roberta-base_q_a_256_5 Docs,t5-base_q_a_256_t5-base_q_a_256_1 Docs,t5-base_q_a_256_t5-base_q_a_256_10 Docs,t5-base_q_a_256_t5-base_q_a_256_3 Docs,t5-base_q_a_256_t5-base_q_a_256_5 Docs
aa23-325a_chunk_3.txt,256,,Following execution,Following execution,Following execution,Following execution,variety of TTPs commonly associated with ransomware activity. For example,variety of TTPs commonly associated with ransomware activity. For example,variety of TTPs commonly associated with ransomware activity. For example,variety of TTPs commonly associated with ransomware activity. For example,addresses,addresses,addresses,addresses,provide no information about the intended purpose or functionality of the HTTP request,provide no information about the intended purpose or functionality of the HTTP request,provide no information about the intended purpose or functionality of the HTTP request,provide no information about the intended purpose or functionality of the HTTP request
aa20-245a_chunk_13.txt,256,,to control access,authentication can occur outside of an organization’s known infrastructure,authentication can occur outside of an organization’s known infrastructure,authentication can occur outside of an organization’s known infrastructure,e.g,"6, 2021","6, 2021","6, 2021",vulnerabilities. Define areas within the,resources,resources,resources,to control access,to control access,to control access,to control access
aa23-074a_chunk_13.txt,256,,allows for the discovery of webshell and other exploit activity,allows for the discovery of webshell and other exploit activity,allows for the discovery of webshell and other exploit activity,allows for the discovery of webshell and other exploit activity,.g,.g,.g,.g,application attacks. Creation of Malicious DLLs,application attacks. Creation of Malicious DLLs,application attacks. Creation of Malicious DLLs,application attacks. Creation of Malicious DLLs,FALSE,FALSE,FALSE,FALSE
icsa-24-074-07_chunk_7.txt,256,,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,"Android-10, Android-11, Android-8","Android-10, Android-11, Android-8","Android-10, Android-11, Android-8","Android-10, Android-11, Android-8",exploitation.,exploitation.,exploitation.,exploitation.,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed
ar23-209a_chunk_7.txt,256,,to set a sleep duration of 2 minutes,to set a sleep duration of 2 minutes,to set a sleep duration of 2 minutes,to set a sleep duration of 2 minutes,update_version,update_version,update_version,update_version,files,files,files,files,replaces all occurrences of the string 'exec' with BSMTP_ID=$B1 LD_PRELOAD=/boot/os_tools/libutil.so,replaces all occurrences of the string 'exec' with BSMTP_ID=$B1 LD_PRELOAD=/boot/os_tools/libutil.so,replaces all occurrences of the string 'exec' with BSMTP_ID=$B1 LD_PRELOAD=/boot/os_tools/libutil.so,replaces all occurrences of the string 'exec' with BSMTP_ID=$B1 LD_PRELOAD=/boot/os_tools/libutil.so
icsa-24-046-15_chunk_16.txt,256,,send the wrong data or use memory after free or similar in the second transfer,send the wrong data or use memory after free or similar in the second transfer,send the wrong data or use memory after free or similar in the second transfer,send the wrong data or use memory after free or similar in the second transfer,:H/A:N). 3.2.,:H/A:N). 3.2.,:H/A:N). 3.2.,:H/A:N). 3.2.,application and cause it to misbehave and either send the,application and cause it to misbehave and either send the,application and cause it to misbehave and either send the,application and cause it to misbehave and either send the,A CVSS v3 base score of 5.9 has been calculated; the CVSS vector string is (CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N).,A CVSS v3 base score of 5.9 has been calculated; the CVSS vector string is (CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N).,A CVSS v3 base score of 5.9 has been calculated; the CVSS vector string is (CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N).,A CVSS v3 base score of 5.9 has been calculated; the CVSS vector string is (CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N).
icsa-23-222-07_chunk_6.txt,256,,confusion,critical,critical,critical,3,7.8 has been assigned,7.8 has been assigned,7.8 has been assigned,updates,The manipulation leads to use,The manipulation leads to use,The manipulation leads to use,CWE-20 There is a type confusion vulnerability relating to X.400 address processing inside an X.509 GeneralName,CVE-2022-20355,CVE-2022-20355,CVE-2022-20355
ar23-243a_chunk_22.txt,256,,avoiding all risks and following the recommendations will not remove all such risk,extortion of the organization,The manipulation leads to memory leak,The manipulation leads to memory leak,FOIA) and may be exempt under other UK information legislation. Refer,"enumerate accessible network shares in a domain.[21],[22",7.8 has been assigned,7.8 has been assigned,legislation. Refer,information on network shares,The manipulation leads to use,The manipulation leads to use,Keepalive,all versions SIMATIC S7-1500 CPU 1515-2 PN (6ES7515-2AN03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1513R-1 PN (6ES7513-1RM03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1514SP F-2 PN (6ES7514-2DN03-0AB0): versions prior to V3.0.3 SIMATIC S7-1500 CPU 1514SP F-2 PN,Android ID: A-219498290 CVE-2022-20355,"allow an attacker to pass arbitrary pointers to a memcmp call, enabling them to read memory contents or enact a denial of service"
aa23-187a_chunk_17.txt,256,,24 to 48 hours,January 2020 CVE-2019-3396 Atlassian Confluence Server,24 to 48 hours,January 2020 CVE-2019-3396 Atlassian Confluence Server,.e,dhs.gov (UNCLASS) CISA encourages you,.e,dhs.gov (UNCLASS) CISA encourages you,behaviors mapped to the MITRE ATT&CK,Economic Aggression Threatens,behaviors mapped to the MITRE ATT&CK,Economic Aggression Threatens,within 24 to 48 hours of vulnerability disclosure,TRUE,within 24 to 48 hours of vulnerability disclosure,within 24 to 48 hours of vulnerability disclosure
aa23-158a_chunk_9.txt,256,,a SQL injection to infiltrate the MOVEit Transfer web application,ICS-TIP-12-146-01B,vector string,vector string,&CK Techniques,CISA at this,7.8 has been assigned,7.8 has been assigned,functions to be,vulnerability has been reported to CISA at this time.,The manipulation leads to use,The manipulation leads to use,185.104.194,PowerShell,SQL,SQL
aa20-275a_chunk_16.txt,256,,Malicious Cyber Activity,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,18] CISA Alert AA20-020A,"6, 2021","6, 2021","6, 2021",Vulnerabilities,resources,resources,resources,APT Groups Target Healthcare and Essential Services,FALSE,TRUE,TRUE
icsa-23-222-09_chunk_5.txt,256,,V2.9.7,V2.9.7,V2.9.7,V2.9.7,SIPLUS S7-1500 CPU 1511-,SIPLUS S7-1500 CPU 1511-,SIPLUS S7-1500 CPU 1511-,SIPLUS S7-1500 CPU 1511-,versions ​SIPLUS,versions ​SIPLUS,versions ​SIPLUS,versions ​SIPLUS,,,,
ar23-209a_chunk_0.txt,256,,CLEAR--Recipients may share this information without restriction,CLEAR--Recipients may share this information without restriction,CLEAR--Recipients may share this information without restriction,CLEAR--Recipients may share this information without restriction,9.2,9.2,9.2,9.2,information. For information about related,information. For information about related,information. For information about related,information. For information about related,,,,
aa23-136a_chunk_14.txt,256,,To aid in detecting ransomware,To aid in detecting ransomware,To aid in detecting ransomware,To aid in detecting ransomware,.e,.e,.e,.e,behaviors mapped to the MITRE ATT&CK,behaviors mapped to the MITRE ATT&CK,behaviors mapped to the MITRE ATT&CK,behaviors mapped to the MITRE ATT&CK,"To aid in detecting ransomware, implement a tool that logs and reports all network traffic, including lateral movement activity on a network","To aid in detecting ransomware, implement a tool that logs and reports all network traffic, including lateral movement activity on a network","To aid in detecting ransomware, implement a tool that logs and reports all network traffic, including lateral movement activity on a network","To aid in detecting ransomware, implement a tool that logs and reports all network traffic, including lateral movement activity on a network"
aa24-038a_chunk_26.txt,256,,vendor-provided or industry standard hardening guidance to strengthen software and system configurations,vendor-provided or industry standard hardening guidance to strengthen software and system configurations,vendor-provided or industry standard hardening guidance to strengthen software and system configurations,vendor-provided or industry standard hardening guidance to strengthen software and system configurations,.g,.g,.g,.g,hardening guidelines.,hardening guidelines.,hardening guidelines.,hardening guidelines.,Apply vendor-provided or industry standard hardening guidance to strengthen software and system configurations,Apply vendor-provided or industry standard hardening guidance to strengthen software and system configurations,Apply vendor-provided or industry standard hardening guidance to strengthen software and system configurations,Apply vendor-provided or industry standard hardening guidance to strengthen software and system configurations
aa23-144a_chunk_16.txt,256,,filesize < 50KB and 4 of them,filesize < 50KB and 4 of them,filesize < 50KB and 4 of them,filesize < 50KB and 4 of them,https://www.mandiant.com,https://www.mandiant.com,https://www.mandiant.com,https://www.mandiant.com,activity Windows password spraying,activity Windows password spraying,activity Windows password spraying,activity Windows password spraying,TRUE,TRUE,TRUE,TRUE
aa23-158a_chunk_11.txt,256,,to protect against the most common and impactful threats and TTPs,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,/or authorized software. Reviewing logs for execution of remote,"6, 2021","6, 2021","6, 2021",protections,resources,resources,resources,collect sensitive data,collect sensitive data,collect sensitive data,collect sensitive data
aa22-320a_chunk_6.txt,256,,Detection,Detection,Detection,Detection,1562.001 The,1562.001 The,1562.001 The,1562.001 The,services. [M1018]. Detection: Monitor,services. [M1018]. Detection: Monitor,services. [M1018]. Detection: Monitor,services. [M1018]. Detection: Monitor,"Detection: Enable logging for new user creation, especially domain administrator accounts",to reduce the risk of lateral movement by PsExec,"Detection: Enable logging for new user creation, especially domain administrator accounts","Detection: Enable logging for new user creation, especially domain administrator accounts"
aa23-059a_chunk_23.txt,256,,Implement Credential Guard for Windows 10 and Server 2016,Implement Credential Guard for Windows 10 and Server 2016,Implement Credential Guard for Windows 10 and Server 2016,Implement Credential Guard for Windows 10 and Server 2016,"1.3, 3","1.3, 3","1.3, 3","1.3, 3","information). For Windows Server 2012R2, enable Protected","information). For Windows Server 2012R2, enable Protected","information). For Windows Server 2012R2, enable Protected","information). For Windows Server 2012R2, enable Protected",Implement Credential Guard for Windows 10 and Server 2016,Implement Credential Guard for Windows 10 and Server 2016,Implement Credential Guard for Windows 10 and Server 2016,Implement Credential Guard for Windows 10 and Server 2016
icsa-23-166-11_chunk_10.txt,256,,CVE-2022-3169,It is recommended to apply a patch,It is recommended to apply a patch,It is recommended to apply a patch,2022-3521 has been assigned to this vulnerability,7.8 has been assigned,7.8 has been assigned,7.8 has been assigned,vulnerability has been found in Linux Kernel and classified as problematic. This vulnerability affects,vulnerability is the,vulnerability is the,vulnerability is the,"NVME_IOCTL_RESET and the NVME_IOCTL_SUBSYS_RESET through the device file of the driver, resulting in a PCIe link disconnect","Attackers may be able to exploit this vulnerability by creating a malicious certificate chain that triggers exponential use of computational resources, leading to a denial-of-service attack on affected systems",3.2.144 OUT-OF-BOUNDS WRITE CWE-787,"Attackers may be able to exploit this vulnerability by creating a malicious certificate chain that triggers exponential use of computational resources, leading to a denial-of-service attack on affected systems"
aa23-144a_chunk_18.txt,256,,to establish persistence to systems,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,Scripting Interpreter,"6, 2021","6, 2021","6, 2021",The,resources,resources,resources,"establish persistence to systems, including some of the webshells being derived from Awen webshell","establish persistence to systems, including some of the webshells being derived from Awen webshell","establish persistence to systems, including some of the webshells being derived from Awen webshell","establish persistence to systems, including some of the webshells being derived from Awen webshell"
icsa-23-222-09_chunk_12.txt,256,,Update to V3.2.19 or later,Update to V3.2.19 or later,Update to V3.2.19 or later,Update to V3.2.19 or later,9.7 or later,9.7 or later,9.7 or later,9.7 or later,200,200,200,200,Update to V3.2.19 or later,all versions SIMATIC S7-1500 CPU 1514SP F-2 PN (6ES7514-2VN03-0AB0):,Update to V3.2.19 or later,Update to V3.2.19 or later
ar23-209a_chunk_14.txt,256,,Malware samples can be submitted via three methods,Malware samples can be submitted via three methods,Malware samples can be submitted via three methods,Malware samples can be submitted via three methods,cert.gov (anonymous) CISA encourages you,cert.gov (anonymous) CISA encourages you,cert.gov (anonymous) CISA encourages you,cert.gov (anonymous) CISA encourages you,"software vulnerabilities, and phishing-related","software vulnerabilities, and phishing-related","software vulnerabilities, and phishing-related","software vulnerabilities, and phishing-related",Malware samples can be submitted via three methods: Web: https://malware.us-cert.gov E-Mail: submit@malware.us-cert.gov FTP: ftp.malware.us-cert.gov (anonymous),Malware samples can be submitted via three methods: Web: https://malware.us-cert.gov E-Mail: submit@malware.us-cert.gov FTP: ftp.malware.us-cert.gov (anonymous),Malware samples can be submitted via three methods: Web: https://malware.us-cert.gov E-Mail: submit@malware.us-cert.gov FTP: ftp.malware.us-cert.gov (anonymous),Malware samples can be submitted via three methods: Web: https://malware.us-cert.gov E-Mail: submit@malware.us-cert.gov FTP: ftp.malware.us-cert.gov (anonymous)
aa20-245a_chunk_14.txt,256,,Use multi-factor authentication,Use multi-factor authentication,Use multi-factor authentication,Use multi-factor authentication,.g,.g,.g,.g,domains are,domains are,domains are,domains are,Use multi-factor authentication,Use multi-factor authentication,Use multi-factor authentication,Use multi-factor authentication
aa23-201a_chunk_1.txt,256,,unauthenticated RCE vulnerability,threat actors to download tools to the c:\drive without virus scans,function area_cache_get,function area_cache_get,NetScaler Gateway 13.0 before,54.217[.]2 and removed mde.ps,v3 base score of 7.8 has been assigned,v3 base score of 7.8 has been assigned,"NetScaler Gateway version 12.1, now end of life NetScaler",file,The manipulation leads to use,The manipulation leads to use,CVE-2023-3519,Progress Telerik Vulnerabilities in Multiple U.S. Government IIS Servers,TRUE,TRUE
icsa-24-074-07_chunk_27.txt,256,,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,"Android-9, Android-10, Android-11, Android-8","Android-9, Android-10, Android-11, Android-8","Android-9, Android-10, Android-11, Android-8","Android-9, Android-10, Android-11, Android-8",This could lead to local information disclosure with no additional execution privileges needed. User,This could lead to local information disclosure with no additional execution privileges needed. User,This could lead to local information disclosure with no additional execution privileges needed. User,This could lead to local information disclosure with no additional execution privileges needed. User,"Android Versions: Android-9, Android-10, Android-11, Android-8.1","Android Versions: Android-9, Android-10, Android-11, Android-8.1","Android Versions: Android-9, Android-10, Android-11, Android-8.1","Android Versions: Android-9, Android-10, Android-11, Android-8.1"
home-network-security_chunk_10.txt,256,,Make and store—using either external media or a cloud-based service,Make and store—using either external media or a cloud-based service,Make and store—using either external media or a cloud-based service,Make and store—using either external media or a cloud-based service,referred to,referred to,referred to,referred to,administrator password to help protect,administrator password to help protect,administrator password to help protect,administrator password to help protect,Make and store—using either external media or a cloud-based service—regular backup copies of all valuable information residing on your device,Make and store—using either external media or a cloud-based service—regular backup copies of all valuable information residing on your device,Make and store—using either external media or a cloud-based service—regular backup copies of all valuable information residing on your device,Make and store—using either external media or a cloud-based service—regular backup copies of all valuable information residing on your device
aa23-075a_chunk_10.txt,256,,to improve your organization’s cybersecurity posture,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,’s cybersecurity posture on the basis,"6, 2021","6, 2021","6, 2021",protections,resources,resources,resources,facilitate lateral movement,facilitate lateral movement,facilitate lateral movement,facilitate lateral movement
aa20-352a_chunk_17.txt,256,,a compilation of IOCs from a variety of public sources provided for convenience,a compilation of IOCs from a variety of public sources provided for convenience,a compilation of IOCs from a variety of public sources provided for convenience,a compilation of IOCs from a variety of public sources provided for convenience,14-Dec,14-Dec,14-Dec,14-Dec,[.]165 8.18.144[.]170,[.]165 8.18.144[.]170,[.]165 8.18.144[.]170,[.]165 8.18.144[.]170,,,,
aa21-209a_chunk_2.txt,256,,exploitation enables the actors to perform unauthorized RCE on a target system,exploitation enables the actors to perform unauthorized RCE on a target system,exploitation enables the actors to perform unauthorized RCE on a target system,exploitation enables the actors to perform unauthorized RCE on a target system,"array of organizations, including those involved","array of organizations, including those involved","array of organizations, including those involved","array of organizations, including those involved",vulnerability to steal the unencrypted credentials for all users,vulnerability to steal the unencrypted credentials for all users,vulnerability to steal the unencrypted credentials for all users,vulnerability to steal the unencrypted credentials for all users,CVE-2019-19781 is a recently disclosed critical vulnerability in Citrix’s Application Delivery Controller,CVE-2019-19781 is a recently disclosed critical vulnerability in Citrix’s Application Delivery Controller,CVE-2019-19781 is a recently disclosed critical vulnerability in Citrix’s Application Delivery Controller,CVE-2019-19781 is a recently disclosed critical vulnerability in Citrix’s Application Delivery Controller
aa23-075a_chunk_4.txt,256,,Remove LockBit 3.0 group policy changes,Remove LockBit 3.0 group policy changes,Remove LockBit 3.0 group policy changes,Remove LockBit 3.0 group policy changes,3.0 Wallpaper LockBit Command Line Parameters LockBit,3.0 Wallpaper LockBit Command Line Parameters LockBit,3.0 Wallpaper LockBit Command Line Parameters LockBit,3.0 Wallpaper LockBit Command Line Parameters LockBit,policy. -pass (32 character value) (Required) Password,policy. -pass (32 character value) (Required) Password,policy. -pass (32 character value) (Required) Password,policy. -pass (32 character value) (Required) Password,Password used to unlock the lockBit 3.0 group policy changes. -gspd Spread laterally via group policy,Password used to unlock the lockBit 3.0 group policy changes. -gspd Spread laterally via group policy,Password used to unlock the lockBit 3.0 group policy changes. -gspd Spread laterally via group policy,Password used to unlock the lockBit 3.0 group policy changes. -gspd Spread laterally via group policy
icsa-24-046-15_chunk_7.txt,256,,defeats protective search_path changes,defeats protective search_path changes,defeats protective search_path changes,defeats protective search_path changes,2023-2455,2023-2455,2023-2455,2023-2455,identifiers or data containing them,identifiers or data containing them,identifiers or data containing them,identifiers or data containing them,3.2.11 MISSING ENCRYPTION OF SENSITIVE DATA CWE-311 Row security policies disregard user ID changes after inlining,3.2.11 MISSING ENCRYPTION OF SENSITIVE DATA CWE-311 Row security policies disregard user ID changes after inlining,3.2.11 MISSING ENCRYPTION OF SENSITIVE DATA CWE-311 Row security policies disregard user ID changes after inlining,3.2.11 MISSING ENCRYPTION OF SENSITIVE DATA CWE-311 Row security policies disregard user ID changes after inlining
icsa-24-046-11_chunk_23.txt,256,,approximately 11 whitespace characters,approximately 11 whitespace characters,approximately 11 whitespace characters,approximately 11 whitespace characters,2023-0330 has been assigned to this vulnerability,2023-0330 has been assigned to this vulnerability,2023-0330 has been assigned to this vulnerability,2023-0330 has been assigned to this vulnerability,flaw was found in,flaw was found in,flaw was found in,flaw was found in,11 whitespace characters,11 whitespace characters,11 whitespace characters,11 whitespace characters
aa23-250a_chunk_21.txt,256,,"application allowlists on domain controllers, administrative hosts, and other sensitive systems","application allowlists on domain controllers, administrative hosts, and other sensitive systems","application allowlists on domain controllers, administrative hosts, and other sensitive systems","application allowlists on domain controllers, administrative hosts, and other sensitive systems","co-sealers recommend exercising, testing","co-sealers recommend exercising, testing","co-sealers recommend exercising, testing","co-sealers recommend exercising, testing",software.,software.,software.,software.,Use application allowlists,Use application allowlists,Use application allowlists,Use application allowlists
aa23-278a_chunk_9.txt,256,,the team attempted noisy activities to trigger a security response,the team attempted noisy activities to trigger a security response,the team attempted noisy activities to trigger a security response,the team attempted noisy activities to trigger a security response,Lack of Regular Patching Failure,Lack of Regular Patching Failure,Lack of Regular Patching Failure,Lack of Regular Patching Failure,vulnerabilities. Poor,vulnerabilities. Poor,vulnerabilities. Poor,vulnerabilities. Poor,An assessment team gained persistent deep access to a large organization with a mature cyber posture,An assessment team gained persistent deep access to a large organization with a mature cyber posture,An assessment team gained persistent deep access to a large organization with a mature cyber posture,An assessment team gained persistent deep access to a large organization with a mature cyber posture
icsa-23-222-07_chunk_0.txt,256,,RISK EVALUATION ​Successful exploitation of this vulnerability could allow an attacker to recover sensitive data,RISK EVALUATION ​Successful exploitation of this vulnerability could allow an attacker to recover sensitive data,RISK EVALUATION ​Successful exploitation of this vulnerability could allow an attacker to recover sensitive data,RISK EVALUATION ​Successful exploitation of this vulnerability could allow an attacker to recover sensitive data,SIMATIC S7-1500 CPU 1510SP-1 PN,SIMATIC S7-1500 CPU 1510SP-1 PN,SIMATIC S7-1500 CPU 1510SP-1 PN,SIMATIC S7-1500 CPU 1510SP-1 PN,versions ​,versions ​,versions ​,versions ​,RISK EVALUATION Successful exploitation of this vulnerability could allow an attacker to recover sensitive data or cause a denial-of-service condition,RISK EVALUATION Successful exploitation of this vulnerability could allow an attacker to recover sensitive data or cause a denial-of-service condition,RISK EVALUATION Successful exploitation of this vulnerability could allow an attacker to recover sensitive data or cause a denial-of-service condition,RISK EVALUATION Successful exploitation of this vulnerability could allow an attacker to recover sensitive data or cause a denial-of-service condition
aa21-008a_chunk_8.txt,256,,The actor adds additional credentials to an existing service principal,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,.g,"6, 2021","6, 2021","6, 2021",permissions to the existing applications or,resources,resources,resources,to monitor and detect any anomalous requests,to monitor and detect any anomalous requests,to monitor and detect any anomalous requests,to monitor and detect any anomalous requests
aa23-059a_chunk_29.txt,256,,Lateral Movement Remote Services,Lateral Movement Remote Services,Lateral Movement Remote Services,Lateral Movement Remote Services,’,’,’,’,traffic between target network and the team’s Cobalt Strike servers,traffic between target network and the team’s Cobalt Strike servers,traffic between target network and the team’s Cobalt Strike servers,traffic between target network and the team’s Cobalt Strike servers,,,,
aa23-187a_chunk_13.txt,256,,CVE-2022-31199 exploited on their systems,It is recommended to apply a patch to fix this issue,It is recommended to apply a patch to fix this issue,It is recommended to apply a patch to fix this issue,2022-,7.8 has been assigned,7.8 has been assigned,7.8 has been assigned,"software, including allowlisting remote access programs. Application controls should prevent",The manipulation leads to use,The manipulation leads to use,The manipulation leads to use,Apply patches to CVE-2022-31199,Apply patches to CVE-2022-31199,Apply patches to CVE-2022-31199,Apply patches to CVE-2022-31199
aa23-213a_chunk_2.txt,256,,operating system privileges of the EPMM web application server,operating system privileges of the EPMM web application server,operating system privileges of the EPMM web application server,operating system privileges of the EPMM web application server,EPMM administrator privileges the capability,EPMM administrator privileges the capability,EPMM administrator privileges the capability,EPMM administrator privileges the capability,Directory (AD). Retrieve,Directory (AD). Retrieve,Directory (AD). Retrieve,Directory (AD). Retrieve,threat actors with EPMM administrator privileges the capability to write arbitrary files,threat actors with EPMM administrator privileges the capability to write arbitrary files,threat actors with EPMM administrator privileges the capability to write arbitrary files,threat actors with EPMM administrator privileges the capability to write arbitrary files
aa22-055a_chunk_11.txt,256,,to limit the applications and executable code that can be run by users,to limit the applications and executable code that can be run by users,to limit the applications and executable code that can be run by users,to limit the applications and executable code that can be run by users,antivirus software may prevent use,antivirus software may prevent use,antivirus software may prevent use,antivirus software may prevent use,"software, and firmware as soon as updates/patches","software, and firmware as soon as updates/patches","software, and firmware as soon as updates/patches","software, and firmware as soon as updates/patches",limit the applications and executable code that can be run by users,limit the applications and executable code that can be run by users,limit the applications and executable code that can be run by users,limit the applications and executable code that can be run by users
aa22-117a_chunk_6.txt,256,,Active Exploitation of vulnerable Sitecore Experience Platform Content Management Systems,Active Exploitation of vulnerable Sitecore Experience Platform Content Management Systems,Active Exploitation of vulnerable Sitecore Experience Platform Content Management Systems,Active Exploitation of vulnerable Sitecore Experience Platform Content Management Systems,"6.5.0.x, 6.5.1","6.5.0.x, 6.5.1","6.5.0.x, 6.5.1","6.5.0.x, 6.5.1",Appliance compromise FTA 9_12_411,Appliance compromise FTA 9_12_411,Appliance compromise FTA 9_12_411,Appliance compromise FTA 9_12_411,,,,
icsa-24-102-08_chunk_5.txt,256,,public structure definition,public structure definition,public structure definition,public structure definition,STRING. When CRL checking is enabled (i.e,STRING. When CRL checking is enabled (i.e,STRING. When CRL checking is enabled (i.e,STRING. When CRL checking is enabled (i.e,resources,resources,resources,resources,address processing inside an X.509 GeneralName,address processing inside an X.509 GeneralName,address processing inside an X.509 GeneralName,address processing inside an X.509 GeneralName
icsa-23-222-07_chunk_3.txt,256,,V3.0.3 ​SIMATIC S7-1500,V3.0.3 ​SIMATIC S7-1500,V3.0.3 ​SIMATIC S7-1500,V3.0.3 ​SIMATIC S7-1500,2.9,2.9,2.9,2.9,versions prior to V2.9.7 ​,versions prior to V2.9.7 ​,versions prior to V2.9.7 ​,versions prior to V2.9.7 ​,V3.0.3 SIMATIC S7-1500 CPU 1518F-4 PN/DP,V3.0.3 SIMATIC S7-1500 CPU 1518F-4 PN/DP,V3.0.3 SIMATIC S7-1500 CPU 1518F-4 PN/DP,V3.0.3 SIMATIC S7-1500 CPU 1518F-4 PN/DP
icsa-24-074-07_chunk_4.txt,256,,reflection of the public key,reflection of the public key,reflection of the public key,reflection of the public key,CVSS vector string is (CVSS:3.1,CVSS vector string is (CVSS:3.1,CVSS vector string is (CVSS:3.1,CVSS vector string is (CVSS:3.1,may permit a nearby man-in-the,may permit a nearby man-in-the,may permit a nearby man-in-the,may permit a nearby man-in-the,An adversary can abuse this to decrypt selected fragments,An adversary can abuse this to decrypt selected fragments,An adversary can abuse this to decrypt selected fragments,An adversary can abuse this to decrypt selected fragments
aa23-059a_chunk_19.txt,256,,Recommendations to Mitigate Identified Issues Issue Recommendation Insufficient host and network monitoring,Recommendations to Mitigate Identified Issues Issue Recommendation Insufficient host and network monitoring,Recommendations to Mitigate Identified Issues Issue Recommendation Insufficient host and network monitoring,Recommendations to Mitigate Identified Issues Issue Recommendation Insufficient host and network monitoring,NIST recommend all organizations implement. CISA and,NIST recommend all organizations implement. CISA and,NIST recommend all organizations implement. CISA and,NIST recommend all organizations implement. CISA and,"techniques described in this report. From a detection standpoint, focus on","techniques described in this report. From a detection standpoint, focus on","techniques described in this report. From a detection standpoint, focus on","techniques described in this report. From a detection standpoint, focus on",,,,
icsa-24-074-11_chunk_13.txt,256,,analysis and risk assessment prior to deploying defensive measures,analysis and risk assessment prior to deploying defensive measures,analysis and risk assessment prior to deploying defensive measures,analysis and risk assessment prior to deploying defensive measures,Avoiding Email Scams for more information on avoiding email scams. Refer,Avoiding Email Scams for more information on avoiding email scams. Refer,Avoiding Email Scams for more information on avoiding email scams. Refer,Avoiding Email Scams for more information on avoiding email scams. Refer,engineering attacks,engineering attacks,engineering attacks,engineering attacks,analysis and risk assessment prior to deploying defensive measures,analysis and risk assessment prior to deploying defensive measures,analysis and risk assessment prior to deploying defensive measures,analysis and risk assessment prior to deploying defensive measures
ar23-074a_chunk_15.txt,256,,drops and executes a reverse shell utility,extortion of the organization,drops and executes a reverse shell utility,drops and executes a reverse shell utility,SortVistaCompat,"enumerate accessible network shares in a domain.[21],[22",SortVistaCompat,SortVistaCompat,"number, XEReverseShell will",information on network shares,"number, XEReverseShell will","number, XEReverseShell will",a listener on the port to accept streamed data,FALSE,a listener on the port to accept streamed data,a listener on the port to accept streamed data
icsa-24-046-15_chunk_11.txt,256,,An application calling any of those other functions may similarly be affected,An application calling any of those other functions may similarly be affected,An application calling any of those other functions may similarly be affected,An application calling any of those other functions may similarly be affected,DH_check_ex(),DH_check_ex(),DH_check_ex(),DH_check_ex(),functions affected by this are DH_check,functions affected by this are DH_check,functions affected by this are DH_check,functions affected by this are DH_check,could be vulnerable to a denial-of-service attack,could be vulnerable to a denial-of-service attack,could be vulnerable to a denial-of-service attack,could be vulnerable to a denial-of-service attack
