Filename,Chunk Size,Generated Question,distilbert-base-uncased-distilled-squad_q_a_128_1 Docs,distilbert-base-uncased-distilled-squad_q_a_128_3 Docs,distilbert-base-uncased-distilled-squad_q_a_128_5 Docs,distilbert-base-uncased-distilled-squad_q_a_128_10 Docs,dynamic_tinybert_q_a_128_dynamic_tinybert_q_a_128_1 Docs,dynamic_tinybert_q_a_128_dynamic_tinybert_q_a_128_10 Docs,dynamic_tinybert_q_a_128_dynamic_tinybert_q_a_128_3 Docs,dynamic_tinybert_q_a_128_dynamic_tinybert_q_a_128_5 Docs,gpt2-medium_q_a_128_gpt2-medium_q_a_128_1 Docs,gpt2-medium_q_a_128_gpt2-medium_q_a_128_10 Docs,gpt2-medium_q_a_128_gpt2-medium_q_a_128_3 Docs,gpt2-medium_q_a_128_gpt2-medium_q_a_128_5 Docs,roberta-base-squad2_q_a_128_roberta-base-squad2_q_a_128_1 Docs,roberta-base-squad2_q_a_128_roberta-base-squad2_q_a_128_10 Docs,roberta-base-squad2_q_a_128_roberta-base-squad2_q_a_128_3 Docs,roberta-base-squad2_q_a_128_roberta-base-squad2_q_a_128_5 Docs,roberta-base_q_a_128_roberta-base_q_a_128_1 Docs,roberta-base_q_a_128_roberta-base_q_a_128_10 Docs,roberta-base_q_a_128_roberta-base_q_a_128_3 Docs,roberta-base_q_a_128_roberta-base_q_a_128_5 Docs,t5-base_q_a_128_t5-base_q_a_128_1 Docs,t5-base_q_a_128_t5-base_q_a_128_10 Docs,t5-base_q_a_128_t5-base_q_a_128_3 Docs,t5-base_q_a_128_t5-base_q_a_128_5 Docs
aa22-277a_chunk_34.txt,128,What was the purpose of pinging amazon com,to detect or avoid virtualization and analysis environments,to detect or avoid virtualization and analysis environments,to detect or avoid virtualization and analysis environments,to detect or avoid virtualization and analysis environments,TA0001] to victim networks,TA0001] to victim networks,TA0001] to victim networks,TA0001] to victim networks,Kimsuky,Kimsuky,Kimsuky,Kimsuky,Initial Access [TA0001],Initial Access [TA0001],Initial Access [TA0001],Initial Access [TA0001],related to the Korean peninsula,related to the Korean peninsula,related to the Korean peninsula,related to the Korean peninsula,Initial Access,Initial Access,Initial Access,Initial Access
icsa-24-102-08_chunk_17.txt,128,What is the purpose of resetting the non volatile X MM registers to 0 before returning the result to its caller,restoring their previous content,restoring their previous content,restoring their previous content,restoring their previous content,unsafe PendingIntent,unsafe PendingIntent,unsafe PendingIntent,unsafe PendingIntent,is (CVSS:3.1/AV:L/AC,is (CVSS:3.1/AV:L/AC,is (CVSS:3.1/AV:L/AC,is (CVSS:3.1/AV:L/AC,local escalation of privilege,local escalation of privilege,local escalation of privilege,local escalation of privilege,"Versions: Android-10, Android-11, Android-12","Versions: Android-10, Android-11, Android-12","Versions: Android-10, Android-11, Android-12","Versions: Android-10, Android-11, Android-12",3.2.119 IMPROPER PRESERVATION OF PERMISSIONS CWE-281,3.2.119 IMPROPER PRESERVATION OF PERMISSIONS CWE-281,3.2.119 IMPROPER PRESERVATION OF PERMISSIONS CWE-281,3.2.119 IMPROPER PRESERVATION OF PERMISSIONS CWE-281
icsa-24-074-07_chunk_41.txt,128,What is the potential impact of the missing authorization permission in the Android versions mentioned,improper state validation,improper state validation,improper state validation,improper state validation,to ensure optimal performance,detection and mitigation recommendations,to ensure optimal performance,to ensure optimal performance,MITRE ATT&CK techniques identified in this advisory. RESOURCES,. Government IIS,MITRE ATT&CK techniques identified in this advisory. RESOURCES,MITRE ATT&CK techniques identified in this advisory. RESOURCES,to ensure optimal performance,detection and mitigation recommendations,to ensure optimal performance,to ensure optimal performance,"program, at scale, in a production environment to ensure optimal performance against",Vulnerabilities in Multiple U.S. Government IIS,"program, at scale, in a production environment to ensure optimal performance against","program, at scale, in a production environment to ensure optimal performance against",ensure optimal performance against the MITRE ATT&CK techniques identified in this advisory,True,ensure optimal performance against the MITRE ATT&CK techniques identified in this advisory,ensure optimal performance against the MITRE ATT&CK techniques identified in this advisory
aa23-347a_chunk_23.txt,128,What is the purpose of generating a random directory for storing infection specific BMPs,used to store infection-specific BMP files - with both commands and results,used to store infection-specific BMP files - with both commands and results,used to store infection-specific BMP files - with both commands and results,used to store infection-specific BMP files - with both commands and results,Mitigate Identified Issues Issue Recommendation Insufficient host and network monitoring,Mitigate Identified Issues Issue Recommendation Insufficient host and network monitoring,Mitigate Identified Issues Issue Recommendation Insufficient host and network monitoring,Mitigate Identified Issues Issue Recommendation Insufficient host and network monitoring,"standpoint, focus on identity and access management (IAM) rather","standpoint, focus on identity and access management (IAM) rather","standpoint, focus on identity and access management (IAM) rather","standpoint, focus on identity and access management (IAM) rather",tune network appliances,tune network appliances,tune network appliances,tune network appliances,"location), and when (what day and time","location), and when (what day and time","location), and when (what day and time","location), and when (what day and time",tune network appliances to detect anomalous behavior,tune network appliances to detect anomalous behavior,tune network appliances to detect anomalous behavior,tune network appliances to detect anomalous behavior
aa23-215a_chunk_14.txt,128,What are the recommended security practices for ensuring that published CVE reports include accurate and relevant information,the proper CWE field identifying the root cause of the vulnerability,the proper CWE field identifying the root cause of the vulnerability,the proper CWE field identifying the root cause of the vulnerability,the proper CWE field identifying the root cause of the vulnerability,to detect or avoid virtualization and analysis environments,to detect or avoid virtualization and analysis environments,to detect or avoid virtualization and analysis environments,to detect or avoid virtualization and analysis environments,2] Microsoft Get-ChildItem [3] Microsoft systeminfo [4,2] Microsoft Get-ChildItem [3] Microsoft systeminfo [4,2] Microsoft Get-ChildItem [3] Microsoft systeminfo [4,2] Microsoft Get-ChildItem [3] Microsoft systeminfo [4,to detect or avoid virtualization and analysis environments,to detect or avoid virtualization and analysis environments,to detect or avoid virtualization and analysis environments,to detect or avoid virtualization and analysis environments,services with their PIDs for all tasks running on the computer,services with their PIDs for all tasks running on the computer,services with their PIDs for all tasks running on the computer,services with their PIDs for all tasks running on the computer,"This could have been to detect or avoid virtualization and analysis environments, circumvent network restrictions, or test their internet connection","This could have been to detect or avoid virtualization and analysis environments, circumvent network restrictions, or test their internet connection","This could have been to detect or avoid virtualization and analysis environments, circumvent network restrictions, or test their internet connection","This could have been to detect or avoid virtualization and analysis environments, circumvent network restrictions, or test their internet connection"
aa24-038a_chunk_1.txt,128,What is the purpose of this warning,compromised the IT environments of multiple critical infrastructure organizations,to include information on vulnerabilities exploited by Chinese state-sponsored actors,to include information on vulnerabilities exploited by Chinese state-sponsored actors,to include information on vulnerabilities exploited by Chinese state-sponsored actors,all the XMM registers are set to zero rather than restoring their previous content,all the XMM registers are set to zero rather than restoring their previous content,all the XMM registers are set to zero rather than restoring their previous content,all the XMM registers are set to zero rather than restoring their previous content,depend on the contents of non-volatile,depend on the contents of non-volatile,depend on the contents of non-volatile,depend on the contents of non-volatile,restoring their previous content,restoring their previous content,restoring their previous content,restoring their previous content,contents of the registers are just zeroized so the attacker,contents of the registers are just zeroized so the attacker,contents of the registers are just zeroized so the attacker,contents of the registers are just zeroized so the attacker,restoring their previous content,restoring their previous content,restoring their previous content,restoring their previous content
icsa-24-046-11_chunk_20.txt,128,What is the purpose of the `SizeOfData` field in each loaded section,An attacker can leverage this to perform out-of-bound writes to memory,An attacker can leverage this to perform out-of-bound writes to memory,An attacker can leverage this to perform out-of-bound writes to memory,An attacker can leverage this to perform out-of-bound writes to memory,local escalation of privilege via hidden services with no additional execution privileges needed,local escalation of privilege via hidden services with no additional execution privileges needed,local escalation of privilege via hidden services with no additional execution privileges needed,local escalation of privilege via hidden services with no additional execution privileges needed,is (CVSS:3.1/AV:L/AC,is (CVSS:3.1/AV:L/AC,is (CVSS:3.1/AV:L/AC,is (CVSS:3.1/AV:L/AC,local escalation of privilege via hidden services with no additional execution privileges needed,local escalation of privilege via hidden services with no additional execution privileges needed,local escalation of privilege via hidden services with no additional execution privileges needed,local escalation of privilege via hidden services with no additional execution privileges needed,Versions: Android kernel Android ID: A,Versions: Android kernel Android ID: A,Versions: Android kernel Android ID: A,Versions: Android kernel Android ID: A,User interaction is not needed for exploitation,User interaction is not needed for exploitation,User interaction is not needed for exploitation,User interaction is not needed for exploitation
aa20-245a_chunk_32.txt,128,What is the purpose of implementing principles of least privilege in network security,Recommendations,Recommendations,Recommendations,Recommendations,GraphicalProton,GraphicalProton,GraphicalProton,GraphicalProton,1003.002 SVR,1003.002 SVR,1003.002 SVR,1003.002 SVR,with both commands and results,with both commands and results,with both commands and results,with both commands and results,Artifacts T1564 SVR,Artifacts T1564 SVR,Artifacts T1564 SVR,Artifacts T1564 SVR,Hide Artifacts: Hidden Files and Directories T1564.001,Hide Artifacts: Hidden Files and Directories T1564.001,Hide Artifacts: Hidden Files and Directories T1564.001,Hide Artifacts: Hidden Files and Directories T1564.001
aa23-347a_chunk_26.txt,128,What is the purpose of the Rsockettunm tool in the context of SVE,to establish a tunnel to the C2 infrastructure,to establish a tunnel to the C2 infrastructure,to establish a tunnel to the C2 infrastructure,It is important to track patching,the proper CWE field identifying the root cause of the vulnerability,the proper CWE field identifying the root cause of the vulnerability,the proper CWE field identifying the root cause of the vulnerability,the proper CWE field identifying the root cause of the vulnerability,"9.1, PW","9.1, PW","9.1, PW","9.1, PW",Prioritize secure-by-default configurations,Prioritize secure-by-default configurations,Prioritize secure-by-default configurations,Prioritize secure-by-default configurations,Configuring production-ready products to have to most secure settings as default,Configuring production-ready products to have to most secure settings as default,Configuring production-ready products to have to most secure settings as default,Configuring production-ready products to have to most secure settings as default,the proper CWE field identifying the root cause of the vulnerability,the proper CWE field identifying the root cause of the vulnerability,the proper CWE field identifying the root cause of the vulnerability,the proper CWE field identifying the root cause of the vulnerability
icsa-24-074-07_chunk_60.txt,128,What is the potential impact of the missing authorization check in the enqueueNotifications method of networkpolicymanagerservice. java,local information disclosure with no additional execution privileges needed,local information disclosure with no additional execution privileges needed,local information disclosure with no additional execution privileges needed,local information disclosure with no additional execution privileges needed,to warn critical infrastructure organizations about this assessment,to include information on vulnerabilities exploited by Chinese state-sponsored actors,to include information on vulnerabilities exploited by Chinese state-sponsored actors,to include information on vulnerabilities exploited by Chinese state-sponsored actors,TSA) Australian Signals Directorate’s (ASD’,"techniques, and procedures (TTPs) and recommended mitigations","techniques, and procedures (TTPs) and recommended mitigations","techniques, and procedures (TTPs) and recommended mitigations",to warn critical infrastructure organizations,"target computer networks holding sensitive intellectual property, economic, political, and military information","target computer networks holding sensitive intellectual property, economic, political, and military information","target computer networks holding sensitive intellectual property, economic, political, and military information",of Energy (DOE) U.S. Environmental Protection,"threat actor techniques. Note: on October 20, 2020, the National","threat actor techniques. Note: on October 20, 2020, the National","threat actor techniques. Note: on October 20, 2020, the National","to warn critical infrastructure organizations about this assessment, which is based on observations from the U.S. authoring agencies’ incident response activities at critical infrastructure organizations compromised by the PRC state-sponsored cyber group known as Volt Typhoon",True,True,True
icsa-24-046-15_chunk_9.txt,128,What is the purpose of the `EVP_ PKEY _public _check()` function,application crash,application crash,application crash,application crash,to perform out-of-bound writes to memory,to perform out-of-bound writes to memory,to perform out-of-bound writes to memory,to perform out-of-bound writes to memory,before 3,before 3,before 3,before 3,to perform out-of-bound writes to memory,to perform out-of-bound writes to memory,to perform out-of-bound writes to memory,to perform out-of-bound writes to memory,section to be loaded. An attacker,section to be loaded. An attacker,section to be loaded. An attacker,section to be loaded. An attacker,An attacker can leverage this to perform out-of-bound writes to memory,An attacker can leverage this to perform out-of-bound writes to memory,An attacker can leverage this to perform out-of-bound writes to memory,An attacker can leverage this to perform out-of-bound writes to memory
aa24-038a_chunk_67.txt,128,What is the purpose of implementing compensating control measures for devices that cannot have their passwords changed,segment the device into separate enclaves and implement increased monitoring and logging,segment the device into separate enclaves and implement increased monitoring and logging,segment the device into separate enclaves and implement increased monitoring and logging,segment the device into separate enclaves and implement increased monitoring and logging,Recommendations,Recommendations,Recommendations,Recommendations,"number of broadcast domains, and","number of broadcast domains, and","number of broadcast domains, and","number of broadcast domains, and",contain security breaches,contain security breaches,contain security breaches,contain security breaches,separates network segments based on role and functionality. A securely segregated network,separates network segments based on role and functionality. A securely segregated network,separates network segments based on role and functionality. A securely segregated network,separates network segments based on role and functionality. A securely segregated network,sensitive data and intellectual property,sensitive data and intellectual property,sensitive data and intellectual property,sensitive data and intellectual property
aa23-144a_chunk_20.txt,128,What is the purpose of using the /filename switch with the ldfde and exe commands,help scope threat hunting activities,help scope threat hunting activities,help scope threat hunting activities,help scope threat hunting activities,to establish a tunnel to the C2 infrastructure,to establish a tunnel to the C2 infrastructure,to establish a tunnel to the C2 infrastructure,to establish a tunnel to the C2 infrastructure,cyber actors use OneDrive and Dropbox to exfiltrate,cyber actors use OneDrive and Dropbox to exfiltrate,cyber actors use OneDrive and Dropbox to exfiltrate,cyber actors use OneDrive and Dropbox to exfiltrate,to establish a tunnel to the C2 infrastructure,to establish a tunnel to the C2 infrastructure,to establish a tunnel to the C2 infrastructure,to establish a tunnel to the C2 infrastructure,"access to otherwise unreachable systems. In selected environments, the SVR","access to otherwise unreachable systems. In selected environments, the SVR","access to otherwise unreachable systems. In selected environments, the SVR","access to otherwise unreachable systems. In selected environments, the SVR",to avoid detection/network filtering and/or enable access to otherwise unreachable systems,to avoid detection/network filtering and/or enable access to otherwise unreachable systems,to avoid detection/network filtering and/or enable access to otherwise unreachable systems,to avoid detection/network filtering and/or enable access to otherwise unreachable systems
aa23-144a_chunk_0.txt,128,What is the name of the Peoples Republc of Chinese state sponsored cyberactor,Volt Typhoon,ATT&CK®,ATT&CK®,ATT&CK®,local information disclosure with no additional execution privileges needed,local information disclosure with no additional execution privileges needed,local information disclosure with no additional execution privileges needed,local information disclosure with no additional execution privileges needed,exploitation. Product: Android Versions,exploitation. Product: Android Versions,exploitation. Product: Android Versions,exploitation. Product: Android Versions,local information disclosure with no additional execution privileges needed,local information disclosure with no additional execution privileges needed,local information disclosure with no additional execution privileges needed,local information disclosure with no additional execution privileges needed,safe. This could lead to local escalation of privilege with no additional execution privileges,safe. This could lead to local escalation of privilege with no additional execution privileges,safe. This could lead to local escalation of privilege with no additional execution privileges,safe. This could lead to local escalation of privilege with no additional execution privileges,local information disclosure,local information disclosure,local information disclosure,local information disclosure
aa23-075a_chunk_18.txt,128,What is the purpose of the Chocolate package in LockBIT 2.1,maintain persistence on the target network,maintain persistence on the target network,maintain persistence on the target network,maintain persistence on the target network,This will most likely lead to an application crash,This will most likely lead to an application crash,This will most likely lead to an application crash,This will most likely lead to an application crash,string is (CVSS:3.1/AV:N/AC,string is (CVSS:3.1/AV:N/AC,string is (CVSS:3.1/AV:N/AC,string is (CVSS:3.1/AV:N/AC,This will most likely lead to an application crash,This will most likely lead to an application crash,This will most likely lead to an application crash,This will most likely lead to an application crash,DSA public key by the EVP_PKEY_public_,DSA public key by the EVP_PKEY_public_,DSA public key by the EVP_PKEY_public_,DSA public key by the EVP_PKEY_public_,could allow an attacker to cause a denial of service attack,could allow an attacker to cause a denial of service attack,could allow an attacker to cause a denial of service attack,could allow an attacker to cause a denial of service attack
ar23-209a_chunk_17.txt,128,What is the purpose of the remote access exploit capabilities in the malware,compromises-data-integrity cleans-traces-of-infection,compromises-data-integrity cleans-traces-of-infection,compromises-data-integrity cleans-traces-of-infection,compromises-data-integrity cleans-traces-of-infection,segment the device into separate enclaves and implement increased monitoring and logging,segment the device into separate enclaves and implement increased monitoring and logging,segment the device into separate enclaves and implement increased monitoring and logging,segment the device into separate enclaves and implement increased monitoring and logging,"example, assets in remote locations), apply compensating","example, assets in remote locations), apply compensating","example, assets in remote locations), apply compensating","example, assets in remote locations), apply compensating",segment the device into separate enclaves and implement increased monitoring and logging,segment the device into separate enclaves and implement increased monitoring and logging,segment the device into separate enclaves and implement increased monitoring and logging,segment the device into separate enclaves and implement increased monitoring and logging,instances where minimum passwords lengths are not technically feasible (for example,instances where minimum passwords lengths are not technically feasible (for example,instances where minimum passwords lengths are not technically feasible (for example,instances where minimum passwords lengths are not technically feasible (for example,"If the asset’s password cannot be changed, implement compensating controls for the device","If the asset’s password cannot be changed, implement compensating controls for the device","If the asset’s password cannot be changed, implement compensating controls for the device","If the asset’s password cannot be changed, implement compensating controls for the device"
ar23-074a_chunk_2.txt,128,"What is the purpose of the ""Details Name"" field in the provided PDF report",a downloadable copy of IOCs,"uses the MITRE Adversarial Tactics, Techniques, and Common Knowledge",the CVSS vector string,the CVSS vector string,to help scope threat hunting activities,to help scope threat hunting activities,to help scope threat hunting activities,to help scope threat hunting activities,"1069.001],","1069.001],","1069.001],","1069.001],",help scope threat hunting activities,help scope threat hunting activities,help scope threat hunting activities,help scope threat hunting activities,com dnscmd .,com dnscmd .,com dnscmd .,com dnscmd .,to help scope threat hunting activities,to help scope threat hunting activities,to help scope threat hunting activities,to help scope threat hunting activities
aa23-339a_chunk_25.txt,128,What is the purpose of this passage,Privacy & Use policy,to include information on vulnerabilities exploited by Chinese state-sponsored actors,to include information on vulnerabilities exploited by Chinese state-sponsored actors,to include information on vulnerabilities exploited by Chinese state-sponsored actors,Volt Typhoon,Cybersecurity and Infrastructure Security Agency,Cybersecurity and Infrastructure Security Agency,Cybersecurity and Infrastructure Security Agency,S. Federal Bureau,"techniques, and procedures (TTPs) and recommended mitigations","techniques, and procedures (TTPs) and recommended mitigations","techniques, and procedures (TTPs) and recommended mitigations",Volt Typhoon,Cybersecurity and Infrastructure Security Agency,Cybersecurity and Infrastructure Security Agency,Cybersecurity and Infrastructure Security Agency,discovered cluster of activity of interest associated with a People,information on vulnerabilities exploited by Chinese state,information on vulnerabilities exploited by Chinese state,information on vulnerabilities exploited by Chinese state,Volt Typhoon,False,False,False
aa24-038a_chunk_18.txt,128,What is the purpose of using outdated network administration tools,actors also use legitimate non-native network admin and forensic tools,actors also use legitimate non-native network admin and forensic tools,actors also use legitimate non-native network admin and forensic tools,actors also use legitimate non-native network admin and forensic tools,a command- line package manager for Windows,a command- line package manager for Windows,a command- line package manager for Windows,a command- line package manager for Windows,.0 launches commands during its execution. Software Deployment Tools LockBit 3,.0 launches commands during its execution. Software Deployment Tools LockBit 3,.0 launches commands during its execution. Software Deployment Tools LockBit 3,.0 launches commands during its execution. Software Deployment Tools LockBit 3,command- line package manager,command- line package manager,command- line package manager,command- line package manager,access to victims’ systems,access to victims’ systems,access to victims’ systems,access to victims’ systems,"Software Deployment Tools LockBit 3.0 uses Chocolatey, a command- line package manager for Windows","Software Deployment Tools LockBit 3.0 uses Chocolatey, a command- line package manager for Windows","Software Deployment Tools LockBit 3.0 uses Chocolatey, a command- line package manager for Windows","Software Deployment Tools LockBit 3.0 uses Chocolatey, a command- line package manager for Windows"
aa23-213a_chunk_8.txt,128,What vulnerabilities were exploited by the APT to gain access to the IvanTI EMM appliance,APT actors exploited CVE-2023-35078,APT actors exploited CVE-2023-35078,APT actors exploited CVE-2023-35078,APT actors exploited CVE-2023-35078,installs_other_components,installs_other_components,installs_other_components,installs_other_components,52 45 4c 4,52 45 4c 4,52 45 4c 4,52 45 4c 4,compromises-data-integrity,compromises-data-integrity,compromises-data-integrity,compromises-data-integrity,4 = { 3e 2f 64 65 76 2f 6e 75,4 = { 3e 2f 64 65 76 2f 6e 75,4 = { 3e 2f 64 65 76 2f 6e 75,4 = { 3e 2f 64 65 76 2f 6e 75,compromises_data_integrity cleans_traces_of_infection hides_artifacts installs_other_components,compromises_data_integrity cleans_traces_of_infection hides_artifacts installs_other_components,compromises_data_integrity cleans_traces_of_infection hides_artifacts installs_other_components,compromises_data_integrity cleans_traces_of_infection hides_artifacts installs_other_components
ar21-134a_chunk_29.txt,128,What is the purpose of providing architectural recommendation for the future rebuild of agencies systems,to provide short-term remediation steps,to provide short-term remediation steps,to provide short-term remediation steps,to provide short-term remediation steps,Advisory Threat Actors Exploit Progress Telerik Vulnerability,denial-of-service attack on affected systems,In light of heightened tensions between the United States and China,denial-of-service attack on affected systems,77[.],leading to a denial-of,"techniques, and procedures (TTPs) and recommended mitigations",leading to a denial-of,Tags wiper,address processing,information on vulnerabilities exploited by Chinese state-sponsored actors,address processing,Details Name,of 7.4 has been calculated; the CVSS,information on vulnerabilities exploited by Chinese state,of 7.4 has been calculated; the CVSS,a downloadable copy of IOCs,address processing inside an X.509 GeneralName,False,address processing inside an X.509 GeneralName
aa23-320a_chunk_26.txt,128,What is the purpose of testing security technology against MITre ATT & CK techniques,ensure optimal performance,ensure optimal performance,ensure optimal performance,ensure optimal performance,Privacy & Use policy,to include information on vulnerabilities exploited by Chinese state-sponsored actors,to include information on vulnerabilities exploited by Chinese state-sponsored actors,to include information on vulnerabilities exploited by Chinese state-sponsored actors,"5, 2023: Initial version. This product is provided subject","techniques, and procedures (TTPs) and recommended mitigations","techniques, and procedures (TTPs) and recommended mitigations","techniques, and procedures (TTPs) and recommended mitigations",Privacy & Use policy,heightened tensions between the United States and China,heightened tensions between the United States and China,heightened tensions between the United States and China,"constitute or imply endorsement, recommendation","threat actor techniques. Note: on October 20, 2020, the National","threat actor techniques. Note: on October 20, 2020, the National","threat actor techniques. Note: on October 20, 2020, the National","VERSION HISTORY December 5, 2023: Initial version",True,True,True
aa23-278a_chunk_69.txt,128,"What are the potential security risks associated with enabling Link Local Multicasting Name resolution ( LLM NR), Network Basic Information Service Name service ( NBT- NS),  and Server Messaging Block service in an environment",elevation of privileges and lateral movement within networks,elevation of privileges and lateral movement within networks,elevation of privileges and lateral movement within networks,elevation of privileges and lateral movement within networks,to dump the LSASS process memory,to dump the LSASS process memory,to dump the LSASS process memory,to dump the LSASS process memory,"example, Volt Typhoon actors have been","example, Volt Typhoon actors have been","example, Volt Typhoon actors have been","example, Volt Typhoon actors have been",obtain credentials,obtain credentials,obtain credentials,obtain credentials,user’s operating system,user’s operating system,user’s operating system,user’s operating system,The actors also use legitimate non-native network admin and forensic tools,The actors also use legitimate non-native network admin and forensic tools,The actors also use legitimate non-native network admin and forensic tools,The actors also use legitimate non-native network admin and forensic tools
ar23-209a_chunk_9.txt,128,What is the purpose of the `$s` variables in this SQL statement,prevents-artifact-access,prevents-artifact-access,denial-of-service attack on affected systems,denial-of-service attack on affected systems,CVE-2023-35078,CVE-2023-35078,CVE-2023-35078,CVE-2023-35078,Table 5,Table 5,Table 5,Table 5,CVE-2023-35078,CVE-2023-35078,CVE-2023-35078,CVE-2023-35078,Account Discovery: Domain Account T1087.002,Account Discovery: Domain Account T1087.002,Account Discovery: Domain Account T1087.002,Account Discovery: Domain Account T1087.002,CVE-2023-35078,CVE-2023-35078,CVE-2023-35078,CVE-2023-35078
aa23-215a_chunk_2.txt,128,What are the security measures that software vendors should implement to address the vulnerabilities mentioned in the passage,"web application firewalls, and network protocol analyzers","web application firewalls, and network protocol analyzers","web application firewalls, and network protocol analyzers","web application firewalls, and network protocol analyzers",to provide short-term remediation steps,to provide short-term remediation steps,to provide short-term remediation steps,to provide short-term remediation steps,CISA) has been,CISA) has been,CISA) has been,CISA) has been,to provide short-term remediation steps,to provide short-term remediation steps,to provide short-term remediation steps,to provide short-term remediation steps,rebuilds? This current guidance is tailored to provide short-term remediation,rebuilds? This current guidance is tailored to provide short-term remediation,rebuilds? This current guidance is tailored to provide short-term remediation,rebuilds? This current guidance is tailored to provide short-term remediation,provide short-term remediation steps for agencies to evict this adversary from compromised on-premises and cloud environments and protect networks against additional compromise,provide short-term remediation steps for agencies to evict this adversary from compromised on-premises and cloud environments and protect networks against additional compromise,provide short-term remediation steps for agencies to evict this adversary from compromised on-premises and cloud environments and protect networks against additional compromise,provide short-term remediation steps for agencies to evict this adversary from compromised on-premises and cloud environments and protect networks against additional compromise
aa23-187a_chunk_30.txt,128,What is the purpose of placing domain administrator accounts into the Protected Users group,to prevent caching of password hashes locally,to prevent caching of password hashes locally,to prevent caching of password hashes locally,to prevent caching of password hashes locally,Analyze your detection and prevention technologies’ performance,Analyze your detection and prevention technologies’ performance,Analyze your detection and prevention technologies’ performance,Analyze your detection and prevention technologies’ performance,and CISA,and CISA,and CISA,and CISA,to ensure optimal performance,to ensure optimal performance,to ensure optimal performance,to ensure optimal performance,Analyze your detection and prevention technologies’ performance. Repeat,Analyze your detection and prevention technologies’ performance. Repeat,Analyze your detection and prevention technologies’ performance. Repeat,Analyze your detection and prevention technologies’ performance. Repeat,ensure optimal performance,ensure optimal performance,ensure optimal performance,ensure optimal performance
icsa-23-222-07_chunk_24.txt,128,What is the difference between the V1.8 and V3.0 firmware versions for the SIPL US7105 CPU,:,:,:,:,"Malicious actors execute spoofing, poisoning, and relay techniques","Malicious actors execute spoofing, poisoning, and relay techniques","Malicious actors execute spoofing, poisoning, and relay techniques","Malicious actors execute spoofing, poisoning, and relay techniques",Multi-Factor Authentication Request Generation T1621 Malicious,Multi-Factor Authentication Request Generation T1621 Malicious,Multi-Factor Authentication Request Generation T1621 Malicious,Multi-Factor Authentication Request Generation T1621 Malicious,"Malicious actors execute spoofing, poisoning, and relay techniques","Malicious actors execute spoofing, poisoning, and relay techniques","Malicious actors execute spoofing, poisoning, and relay techniques","Malicious actors execute spoofing, poisoning, and relay techniques",Message Block (SMB) services are enabled in a network,Message Block (SMB) services are enabled in a network,Message Block (SMB) services are enabled in a network,Message Block (SMB) services are enabled in a network,"Malicious actors execute spoofing, poisoning, and relay techniques","Malicious actors execute spoofing, poisoning, and relay techniques","Malicious actors execute spoofing, poisoning, and relay techniques","Malicious actors execute spoofing, poisoning, and relay techniques"
aa23-061a_chunk_3.txt,128,What is the purpose of the provided joint security advisory for the Royal family ransomware,uses the MITRE ATT&CK® for Enterprise framework,uses the MITRE ATT&CK® for Enterprise framework,uses the MITRE ATT&CK® for Enterprise framework,uses the MITRE ATT&CK® for Enterprise framework,prevents-artifact-access,creating a malicious certificate chain that triggers exponential use of computational resources,prevents-artifact-access,creating a malicious certificate chain that triggers exponential use of computational resources,e05c89dba13971be5aea,denial-of,e05c89dba13971be5aea,denial-of,Detects encoded GZIP archive samples,address processing,Detects encoded GZIP archive samples,address processing,"access Date = ""2023-06-29"" Last_",service attack on affected systems. Policy processing is disabled by default,"access Date = ""2023-06-29"" Last_",service attack on affected systems. Policy processing is disabled by default,Detects encoded GZIP archive samples,enabling them to read memory contents or enact a denial of service,Detects encoded GZIP archive samples,enabling them to read memory contents or enact a denial of service
icsa-24-046-11_chunk_5.txt,128,What is the purpose of handling invalid destination parameters in this memory-access-control vulnerability,guest provides invalid values for the destination display parameters,guest provides invalid values for the destination display parameters,guest provides invalid values for the destination display parameters,guest provides invalid values for the destination display parameters,"web application firewalls, and network protocol analyzers","web application firewalls, and network protocol analyzers","web application firewalls, and network protocol analyzers","web application firewalls, and network protocol analyzers",PoC) code was publicly available,PoC) code was publicly available,PoC) code was publicly available,PoC) code was publicly available,"web application firewalls, and network protocol analyzers","web application firewalls, and network protocol analyzers","web application firewalls, and network protocol analyzers","web application firewalls, and network protocol analyzers","patch management system. Use security tools, such as endpoint detection","patch management system. Use security tools, such as endpoint detection","patch management system. Use security tools, such as endpoint detection","patch management system. Use security tools, such as endpoint detection",Implement a centralized patch management system,Implement a centralized patch management system,Implement a centralized patch management system,Implement a centralized patch management system
