Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_1 Docs,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_10 Docs,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_3 Docs,dynamic_tinybert_q_a_512_dynamic_tinybert_q_a_512_5 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_1 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_10 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_3 Docs,gpt2-medium_q_a_512_gpt2-medium_q_a_512_5 Docs,t5-base_q_a_512_t5-base_q_a_512_1 Docs,t5-base_q_a_512_t5-base_q_a_512_10 Docs,t5-base_q_a_512_t5-base_q_a_512_3 Docs,t5-base_q_a_512_t5-base_q_a_512_5 Docs
icsa-23-166-11_chunk_2.txt,512,,successful verification when the verification has failed,successful verification when the verification has failed,successful verification when the verification has failed,successful verification when the verification has failed,2022-2153 has been assigned to this vulnerability,2022-2153 has been assigned to this vulnerability,2022-2153 has been assigned to this vulnerability,2022-2153 has been assigned to this vulnerability,3.2.14 USE AFTER FREE CWE-416,3.2.14 USE AFTER FREE CWE-416,3.2.14 USE AFTER FREE CWE-416,3.2.14 USE AFTER FREE CWE-416
aa24-038a_chunk_0.txt,512,,"Ensure logging is turned on for application, access, and security logs",to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,.S,"6, 2021","6, 2021","6, 2021",Prioritize patching critical vulnerabilities in appliances known to be frequently exploited by Volt Typhoon,TRUE,Prioritize patching critical vulnerabilities in appliances known to be frequently exploited by Volt Typhoon,Prioritize patching critical vulnerabilities in appliances known to be frequently exploited by Volt Typhoon
ar23-074a_chunk_2.txt,512,,malicious unmanaged 64-bit Intel code,malicious unmanaged 64-bit Intel code,malicious unmanaged 64-bit Intel code,malicious unmanaged 64-bit Intel code,“VirtualAlloc failed” will be sent to the IP,“VirtualAlloc failed” will be sent to the IP,“VirtualAlloc failed” will be sent to the IP,“VirtualAlloc failed” will be sent to the IP,,,,
aa20-245a_chunk_4.txt,512,,General Recommendations and Best Practices Prior to an Incident Properly implemented defensive techniques,General Recommendations and Best Practices Prior to an Incident Properly implemented defensive techniques,General Recommendations and Best Practices Prior to an Incident Properly implemented defensive techniques,General Recommendations and Best Practices Prior to an Incident Properly implemented defensive techniques,e.g,e.g,e.g,e.g,Implement secure remote desktop gateway solutions,Implement secure remote desktop gateway solutions,Implement secure remote desktop gateway solutions,Implement secure remote desktop gateway solutions
aa23-250a_chunk_2.txt,512,,dump/write credentials to disk on the ServiceDesk system,extortion of the organization,dump/write credentials to disk on the ServiceDesk system,dump/write credentials to disk on the ServiceDesk system,prior to the download of mimikatz,"enumerate accessible network shares in a domain.[21],[22",prior to the download of mimikatz,prior to the download of mimikatz,FALSE,Obtain Capabilities: Malware T1587.001 Actors used a variant of Metasploit (Meterpreter) on the ServiceDesk system,FALSE,Obtain Capabilities: Malware T1587.001 Actors used a variant of Metasploit (Meterpreter) on the ServiceDesk system
aa23-075a_chunk_1.txt,512,,whether a system language is checked at runtime,whether a system language is checked at runtime,whether a system language is checked at runtime,whether a system language is checked at runtime,https://anonfiles[.]com https://www.sendspace,https://anonfiles[.]com https://www.sendspace,https://anonfiles[.]com https://www.sendspace,https://anonfiles[.]com https://www.sendspace,whether a system language is checked at runtime is determined by a configuration flag originally set at compilation time,whether a system language is checked at runtime is determined by a configuration flag originally set at compilation time,whether a system language is checked at runtime is determined by a configuration flag originally set at compilation time,whether a system language is checked at runtime is determined by a configuration flag originally set at compilation time
aa23-250a_chunk_5.txt,512,,to monitor processes and create crash dump files,to monitor processes and create crash dump files,to monitor processes and create crash dump files,to monitor processes and create crash dump files,1074,1074,1074,1074,TRUE,TRUE,TRUE,TRUE
aa20-275a_chunk_4.txt,512,,mitigations,mitigations,mitigations,mitigations,e.g,e.g,e.g,e.g,Leverage NIDS and NIPS using network signatures to identify traffic for specific adversary malware,Leverage NIDS and NIPS using network signatures to identify traffic for specific adversary malware,Leverage NIDS and NIPS using network signatures to identify traffic for specific adversary malware,Leverage NIDS and NIPS using network signatures to identify traffic for specific adversary malware
ar22-277a_chunk_8.txt,512,,phishing-related scams,phishing-related scams,phishing-related scams,phishing-related scams,level of desired analysis,level of desired analysis,level of desired analysis,level of desired analysis,A Malware Initial Findings Report,A Malware Initial Findings Report,A Malware Initial Findings Report,A Malware Initial Findings Report
aa22-277a_chunk_5.txt,512,,Audit accounts and permissions,Audit accounts and permissions,Audit accounts and permissions,Audit accounts and permissions,e.g,e.g,e.g,e.g,Create signatures based on the threat actor TTPs,Create signatures based on the threat actor TTPs,Create signatures based on the threat actor TTPs,Create signatures based on the threat actor TTPs
aa24-038a_chunk_20.txt,512,,to monitor user logon activities across the network,to monitor user logon activities across the network,to monitor user logon activities across the network,to monitor user logon activities across the network,Logon,Logon,Logon,Logon,user logon discovery,user logon discovery,user logon discovery,user logon discovery
aa20-352a_chunk_7.txt,512,,Block all traffic to and from hosts,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,Remediating Malicious Activity for more information on incident investigation and mitigation steps based,"6, 2021","6, 2021","6, 2021","Granting Ticket password, twice: https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/manage/ad-forest-recovery-resetting-the-krbtgt-password",a .NET DLL that is designed to invoke PowerShell to download and execute a file,"Granting Ticket password, twice: https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/manage/ad-forest-recovery-resetting-the-krbtgt-password","Granting Ticket password, twice: https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/manage/ad-forest-recovery-resetting-the-krbtgt-password"
aa23-061a_chunk_0.txt,512,,Phishing emails,"universal plug and play [UPnP], PowerShell",Phishing emails,"universal plug and play [UPnP], PowerShell",.S,dhs.gov (UNCLASS) CISA encourages you,.S,dhs.gov (UNCLASS) CISA encourages you,TRUE,TRUE,TRUE,TRUE
icsa-24-074-07_chunk_10.txt,512,,User interaction is not needed for exploitation,threat actors to download tools to the c:\drive without virus scans,memory leak,memory leak,#NAME?,54.217[.]2 and removed mde.ps,7.8 has been assigned,7.8 has been assigned,"3.2.66 USE AFTER FREE CWE-416 In __hidinput_change_resolution_multipliers of p2p_pd.c, there is a possible use after free due to a race condition","Microsoft Security Update Guide: Windows Print Spooler Remote Code Execution Vulnerability, CVE-2021-40444",Figure 2 shows the alleged number of victims worldwide on LockBit leak sites starting in Q3 2020,Figure 2 shows the alleged number of victims worldwide on LockBit leak sites starting in Q3 2020
aa23-165a_chunk_12.txt,512,,Businesses can find information on developing an incident response plan,"preparation, prevention, and mitigation",Businesses can find information on developing an incident response plan,To get started: Select an ATT&CK technique,.g,CK techniques identified in this advisory,.g,.g,"developing an incident response plan, creating a contact list, and communicating ransomware incidents",Microsoft Security Update Guide: Microsoft Windows Print Spooler Remote Code Execution Vulnerability,"developing an incident response plan, creating a contact list, and communicating ransomware incidents","developing an incident response plan, creating a contact list, and communicating ransomware incidents"
icsa-24-046-11_chunk_24.txt,512,,SENSITIVE DATA CWE-311,extortion of the organization,SENSITIVE DATA CWE-311,SENSITIVE DATA CWE-311,score of 5.5 has been calculated; the CVSS vector string is,"enumerate accessible network shares in a domain.[21],[22",score of 5.5 has been calculated; the CVSS vector string is,score of 5.5 has been calculated; the CVSS vector string is,3.2.141 MISSING ENCRYPTION OF SENSITIVE DATA CWE-311,TRUE,"a range of malicious cyber activity, such as network reconnaissance, remote access and tunneling, credential dumping, and file exfiltration","a range of malicious cyber activity, such as network reconnaissance, remote access and tunneling, credential dumping, and file exfiltration"
aa24-038a_chunk_7.txt,512,,exfiltration,exfiltration,exfiltration,exfiltration,Chrome\User Data\ and C:\Users,Chrome\User Data\ and C:\Users,Chrome\User Data\ and C:\Users,Chrome\User Data\ and C:\Users,"presumably contained data from the User Data directory of the user’s Chrome browser, which the actors likely saved in the Downloads directory for exfiltration","presumably contained data from the User Data directory of the user’s Chrome browser, which the actors likely saved in the Downloads directory for exfiltration","presumably contained data from the User Data directory of the user’s Chrome browser, which the actors likely saved in the Downloads directory for exfiltration","presumably contained data from the User Data directory of the user’s Chrome browser, which the actors likely saved in the Downloads directory for exfiltration"
aa24-038a_chunk_16.txt,512,,to detect unauthorized changes,to detect unauthorized changes,to detect unauthorized changes,to detect unauthorized changes,e.g,e.g,e.g,e.g,TRUE,TRUE,TRUE,TRUE
aa23-319a_chunk_0.txt,512,,"tactics, techniques, and procedures (TTPs) and indicators of compromise","tactics, techniques, and procedures (TTPs) and indicators of compromise","tactics, techniques, and procedures (TTPs) and indicators of compromise","tactics, techniques, and procedures (TTPs) and indicators of compromise",due to organizations lacking MFA enabled by default. Additionally,due to organizations lacking MFA enabled by default. Additionally,due to organizations lacking MFA enabled by default. Additionally,due to organizations lacking MFA enabled by default. Additionally,TRUE,TRUE,TRUE,TRUE
icsa-24-074-07_chunk_24.txt,512,,No known public exploitation specifically targeting these vulnerabilities,memory leak,memory leak,memory leak,Avoiding Email Scams for more information on avoiding email scams. Refer,v3 base score of 7.8 has been assigned,v3 base score of 7.8 has been assigned,v3 base score of 7.8 has been assigned,"CVE-2022-20500 has been assigned to this vulnerability. A CVSS v3 base score of 4.4 has been calculated; the CVSS vector string is (CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:H). 3.2.156 IMPROPER HANDLING OF EXCEPTIONAL CONDITIONS CWE-755 In loadFromXml of ShortcutPackage.java, there is",Microsoft Security Update Guide: Windows Print Spooler Vulnerability,"CVE-2022-20500 has been assigned to this vulnerability. A CVSS v3 base score of 4.4 has been calculated; the CVSS vector string is (CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:H). 3.2.156 IMPROPER HANDLING OF EXCEPTIONAL CONDITIONS CWE-755 In loadFromXml of ShortcutPackage.java, there is","CVE-2022-20500 has been assigned to this vulnerability. A CVSS v3 base score of 4.4 has been calculated; the CVSS vector string is (CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:H). 3.2.156 IMPROPER HANDLING OF EXCEPTIONAL CONDITIONS CWE-755 In loadFromXml of ShortcutPackage.java, there is"
icsa-23-166-11_chunk_7.txt,512,,nilfs_attach_log_writer,nilfs_attach_log_writer,nilfs_attach_log_writer,nilfs_attach_log_writer,H/I:H,H/I:H,H/I:H,H/I:H,CWE-119,CWE-119,CWE-119,CWE-119
ar23-243a_chunk_7.txt,512,,to terminate netd,to terminate netd,to terminate netd,to terminate netd,level of C++ knowledge to make the alterations and an awareness,level of C++ knowledge to make the alterations and an awareness,level of C++ knowledge to make the alterations and an awareness,level of C++ knowledge to make the alterations and an awareness,TRUE,TRUE,TRUE,TRUE
aa23-165a_chunk_0.txt,512,,to enable network defenders to proactively improve their organization’s defenses,Privacy & Use policy,to enable network defenders to proactively improve their organization’s defenses,to enable network defenders to proactively improve their organization’s defenses,Due to the large number,CISA at this,Due to the large number,Due to the large number,detailing observed activity in LockBit ransomware incidents and providing recommended mitigations,detailing observed activity in LockBit ransomware incidents and providing recommended mitigations,detailing observed activity in LockBit ransomware incidents and providing recommended mitigations,detailing observed activity in LockBit ransomware incidents and providing recommended mitigations
aa24-038a_chunk_8.txt,512,,would facilitate follow-on actions with physical impacts,would facilitate follow-on actions with physical impacts,would facilitate follow-on actions with physical impacts,would facilitate follow-on actions with physical impacts,PRTG server [T1090,PRTG server [T1090,PRTG server [T1090,PRTG server [T1090,This data is crucial for understanding and potentially impacting critical infrastructure systems,This data is crucial for understanding and potentially impacting critical infrastructure systems,This data is crucial for understanding and potentially impacting critical infrastructure systems,This data is crucial for understanding and potentially impacting critical infrastructure systems
icsa-24-074-07_chunk_2.txt,512,,An adversary can abuse this to decrypt selected fragments,An adversary can abuse this to decrypt selected fragments,An adversary can abuse this to decrypt selected fragments,An adversary can abuse this to decrypt selected fragments,"PackageInstaller, there is","PackageInstaller, there is","PackageInstaller, there is","PackageInstaller, there is",An adversary can abuse this to decrypt selected fragments when another device sends fragmented frames,An adversary can abuse this to decrypt selected fragments when another device sends fragmented frames,An adversary can abuse this to decrypt selected fragments when another device sends fragmented frames,An adversary can abuse this to decrypt selected fragments when another device sends fragmented frames
aa21-356a_chunk_4.txt,512,,Initiate incident response procedures,Initiate incident response procedures,Initiate incident response procedures,Initiate incident response procedures,.S,.S,.S,.S,TRUE,TRUE,TRUE,TRUE
aa23-136a_chunk_2.txt,512,,If a victim refuses to pay the ransom demand,Protect yourself from Ransomware,If a victim refuses to pay the ransom demand,If a victim refuses to pay the ransom demand,BianLian Sample Ransom Note (Look at this instruction,CK techniques identified in this advisory,BianLian Sample Ransom Note (Look at this instruction,BianLian Sample Ransom Note (Look at this instruction,run portable executable files on victim systems using local user rights,TRUE,legitimate freeware and open-source tools LockBit affiliates have repurposed for ransomware operations,legitimate freeware and open-source tools LockBit affiliates have repurposed for ransomware operations
icsa-24-102-08_chunk_8.txt,512,,tracking and correlation against other incidents,tracking and correlation against other incidents,tracking and correlation against other incidents,tracking and correlation against other incidents,11-Apr,11-Apr,11-Apr,11-Apr,report findings to CISA for tracking and correlation against other incidents,report findings to CISA for tracking and correlation against other incidents,report findings to CISA for tracking and correlation against other incidents,report findings to CISA for tracking and correlation against other incidents
aa23-074a_chunk_0.txt,512,,remote code execution,remote code execution,remote code execution,remote code execution,Bureau of Investigation (FBI,Bureau of Investigation (FBI,Bureau of Investigation (FBI,Bureau of Investigation (FBI,TRUE,TRUE,TRUE,TRUE
aa23-187a_chunk_1.txt,512,,identifying the presence of security debugger tools,the adversary creates unauthorized but valid tokens,the adversary creates unauthorized but valid tokens,the adversary creates unauthorized but valid tokens,.g,"6, 2021","6, 2021","6, 2021",Truebot’s main goal is identifying the presence of security debugger tools,TRUE,Truebot’s main goal is identifying the presence of security debugger tools,Query Registry T1012 Actors dumped system.hiv and security.hiv to obtain information about the data used by the operating system
aa23-339a_chunk_1.txt,512,,"to extract username, password, and data source uniform resource locators","to extract username, password, and data source uniform resource locators","to extract username, password, and data source uniform resource locators","to extract username, password, and data source uniform resource locators",ColdFusion [T1036,ColdFusion [T1036,ColdFusion [T1036,ColdFusion [T1036,FALSE,FALSE,FALSE,FALSE
aa20-245a_chunk_2.txt,512,,blocking an IP address,Use encrypted services,blocking an IP address,Use encrypted services,discontinue FTP and,.g,discontinue FTP and,.g,"Touching adversary infrastructure (Pinging, NSlookup, Browsing, etc.)","Touching adversary infrastructure (Pinging, NSlookup, Browsing, etc.)","Touching adversary infrastructure (Pinging, NSlookup, Browsing, etc.)","Touching adversary infrastructure (Pinging, NSlookup, Browsing, etc.)"
aa23-187a_chunk_0.txt,512,,to collect and exfiltrate information from its target victims,to collect and exfiltrate information from its target victims,to collect and exfiltrate information from its target victims,to collect and exfiltrate information from its target victims,.S,.S,.S,.S,"Truebot operations, the primary objective of a Truebot infection is to exfiltrate sensitive data from the compromised host(s) for financial gain","Truebot operations, the primary objective of a Truebot infection is to exfiltrate sensitive data from the compromised host(s) for financial gain","Truebot operations, the primary objective of a Truebot infection is to exfiltrate sensitive data from the compromised host(s) for financial gain","Truebot operations, the primary objective of a Truebot infection is to exfiltrate sensitive data from the compromised host(s) for financial gain"
aa23-201a_chunk_5.txt,512,,to prevent configured users from logging in remotely,to prevent configured users from logging in remotely,to prevent configured users from logging in remotely,to prevent configured users from logging in remotely,"var -perm -4000 -user root -not -path ""/var","var -perm -4000 -user root -not -path ""/var","var -perm -4000 -user root -not -path ""/var","var -perm -4000 -user root -not -path ""/var",to prevent configured users from logging in remotely,to prevent configured users from logging in remotely,to prevent configured users from logging in remotely,to prevent configured users from logging in remotely
aa23-144a_chunk_5.txt,512,,to help scope threat hunting activities,to help scope threat hunting activities,to help scope threat hunting activities,to help scope threat hunting activities,. /enumzones dnscmd,. /enumzones dnscmd,. /enumzones dnscmd,. /enumzones dnscmd,to help scope threat hunting activities,to help scope threat hunting activities,to help scope threat hunting activities,to help scope threat hunting activities
aa23-075a_chunk_5.txt,512,,to exfiltrate,ensures that sensitive information cannot be easily obtained by a threat actor capturing network traffic,to exfiltrate,ensures that sensitive information cannot be easily obtained by a threat actor capturing network traffic,.g,.g,.g,.g,Store passwords in hashed format,TRUE,ExtPassword Recovers passwords from Windows systems. Obtains credentials for network access and exploitation,ExtPassword Recovers passwords from Windows systems. Obtains credentials for network access and exploitation
aa23-325a_chunk_3.txt,512,,aid the hunt for suspicious activity,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,e.g,"6, 2021","6, 2021","6, 2021",FALSE,a .NET DLL that is designed to invoke PowerShell to download and execute a file,Figure 2 shows the alleged number of victims worldwide on LockBit leak sites starting in Q3 2020,Table 3: Resource Development Technique Title ID Use Acquire Infrastructure: Botnet T1583.005 Actors used User-Agent string Hello World as an initial step of the Mirai botnet to later download malicious artifacts
ar23-209a_chunk_7.txt,512,,Malware samples can be submitted via three methods,Malware samples can be submitted via three methods,Malware samples can be submitted via three methods,Malware samples can be submitted via three methods,cert.gov (anonymous) CISA encourages you,cert.gov (anonymous) CISA encourages you,cert.gov (anonymous) CISA encourages you,cert.gov (anonymous) CISA encourages you,Malware samples can be submitted via three methods: Web: https://malware.us-cert.gov E-Mail: submit@malware.us-cert.gov FTP: ftp.malware.us-cert.gov (anonymous),Malware samples can be submitted via three methods: Web: https://malware.us-cert.gov E-Mail: submit@malware.us-cert.gov FTP: ftp.malware.us-cert.gov (anonymous),Malware samples can be submitted via three methods: Web: https://malware.us-cert.gov E-Mail: submit@malware.us-cert.gov FTP: ftp.malware.us-cert.gov (anonymous),Malware samples can be submitted via three methods: Web: https://malware.us-cert.gov E-Mail: submit@malware.us-cert.gov FTP: ftp.malware.us-cert.gov (anonymous)
icsa-24-074-07_chunk_7.txt,512,,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,lead to local information disclosure of contact data with no additional execution privileges needed,lead to local information disclosure of contact data with no additional execution privileges needed,lead to local information disclosure of contact data with no additional execution privileges needed,lead to local information disclosure of contact data with no additional execution privileges needed,"Android Versions: Android-11, Android-8.1, Android-9, Android-10, Android-11 Android ID: A-176496160","Android Versions: Android-11, Android-8.1, Android-9, Android-10, Android-11 Android ID: A-176496160","Android Versions: Android-11, Android-8.1, Android-9, Android-10, Android-11 Android ID: A-176496160","Android Versions: Android-11, Android-8.1, Android-9, Android-10, Android-11 Android ID: A-176496160"
icsa-24-046-15_chunk_16.txt,512,,tracking and correlation against other incidents,tracking and correlation against other incidents,tracking and correlation against other incidents,tracking and correlation against other incidents,CISA at this time. 5. UPDATE HISTORY February 15,CISA at this time. 5. UPDATE HISTORY February 15,CISA at this time. 5. UPDATE HISTORY February 15,CISA at this time. 5. UPDATE HISTORY February 15,tracking and correlation against other incidents,tracking and correlation against other incidents,tracking and correlation against other incidents,tracking and correlation against other incidents
icsa-23-222-07_chunk_6.txt,512,,Siemens recommends protecting network access to devices with appropriate mechanisms,Use encrypted services,compromising the SAML signing certificate using their escalated Active Directory privileges,Use encrypted services,cisa.gov,.g,"6, 2021",.g,Disable CRL (certification revocation list) checking,TRUE,T1072 Software Deployment Tools Defender Control Disables Microsoft Defender.,T1072 Software Deployment Tools Defender Control Disables Microsoft Defender.
icsa-23-222-09_chunk_5.txt,512,,V3.0.3 or later,V3.0.3 or later,V3.0.3 or later,V3.0.3 or later,0AB0): Update to V3.2.19 or later,0AB0): Update to V3.2.19 or later,0AB0): Update to V3.2.19 or later,0AB0): Update to V3.2.19 or later,V3.0.3 or later,V3.0.3 or later,V3.0.3 or later,V3.0.3 or later
ar23-209a_chunk_0.txt,512,,"enable execution with root privileges, persistence, command and control, and cleanup","enable execution with root privileges, persistence, command and control, and cleanup","enable execution with root privileges, persistence, command and control, and cleanup","enable execution with root privileges, persistence, command and control, and cleanup","-11"" Last_Modified =","-11"" Last_Modified =","-11"" Last_Modified =","-11"" Last_Modified =",cleans_traces_of_infection hides_artifacts installs_other_components,cleans_traces_of_infection hides_artifacts installs_other_components,cleans_traces_of_infection hides_artifacts installs_other_components,cleans_traces_of_infection hides_artifacts installs_other_components
aa22-320a_chunk_6.txt,512,,ensure they use the non-privileged accounts for all non-privileged access,ensure they use the non-privileged accounts for all non-privileged access,ensure they use the non-privileged accounts for all non-privileged access,ensure they use the non-privileged accounts for all non-privileged access,.g,.g,.g,.g,"Create non-privileged accounts for privileged users and ensure they use the non-privileged accounts for all non-privileged access (e.g., web browsing, email access)","Create non-privileged accounts for privileged users and ensure they use the non-privileged accounts for all non-privileged access (e.g., web browsing, email access)","Create non-privileged accounts for privileged users and ensure they use the non-privileged accounts for all non-privileged access (e.g., web browsing, email access)","Create non-privileged accounts for privileged users and ensure they use the non-privileged accounts for all non-privileged access (e.g., web browsing, email access)"
icsa-23-166-11_chunk_10.txt,512,,there is a possible way to modify read-only files,there is a possible way to modify read-only files,there is a possible way to modify read-only files,there is a possible way to modify read-only files,score of 3.3 has been assigned,score of 3.3 has been assigned,score of 3.3 has been assigned,score of 3.3 has been assigned,could lead to local escalation of privilege with System execution privileges needed,could lead to local escalation of privilege with System execution privileges needed,could lead to local escalation of privilege with System execution privileges needed,could lead to local escalation of privilege with System execution privileges needed
aa23-201a_chunk_1.txt,512,,can be decrypted,extortion of the organization,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,.g,"enumerate accessible network shares in a domain.[21],[22","6, 2021","6, 2021",to query the AD via ldapsearch,TRUE,to query the AD via ldapsearch,to query the AD via ldapsearch
aa21-209a_chunk_2.txt,512,,Citrix Gateway CISA,Citrix Gateway CISA,Citrix Gateway CISA,Citrix Gateway CISA,"12.1, and 13","12.1, and 13","12.1, and 13","12.1, and 13",TRUE,TRUE,TRUE,TRUE
aa23-075a_chunk_4.txt,512,,Network Connections,Network Connections,Network Connections,Network Connections,Lockbit C,Lockbit C,Lockbit C,Lockbit C,Defense Evasion Obfuscated Files or Information T1027 LockBit 3.0 will send encrypted host and bot information to its C2 servers,a .NET DLL that is designed to invoke PowerShell to download and execute a file,Defense Evasion Obfuscated Files or Information T1027 LockBit 3.0 will send encrypted host and bot information to its C2 servers,Defense Evasion Obfuscated Files or Information T1027 LockBit 3.0 will send encrypted host and bot information to its C2 servers
icsa-24-046-15_chunk_7.txt,512,,making them match too easily,making them match too easily,making them match too easily,making them match too easily,2023-28320 has been assigned to this vulnerability,2023-28320 has been assigned to this vulnerability,2023-28320 has been assigned to this vulnerability,2023-28320 has been assigned to this vulnerability,"two SSH settings were left out from the configuration match checks, making them match too easily","two SSH settings were left out from the configuration match checks, making them match too easily","two SSH settings were left out from the configuration match checks, making them match too easily","two SSH settings were left out from the configuration match checks, making them match too easily"
icsa-24-046-11_chunk_23.txt,512,,CARES_RANDOM_FILE will not be set,The manipulation leads to memory leak,The manipulation leads to memory leak,The manipulation leads to memory leak,CWE-330 c-ares is an asynchronous resolver library,7.8 has been assigned,7.8 has been assigned,7.8 has been assigned,increasing the default safety of users of crypto/tls,3.2.38 NON-EXIT ON FAILED INITIALIZATION,increasing the default safety of users of crypto/tls,enumerating running processes/applications
aa23-278a_chunk_9.txt,512,,"Excessive account privileges, Elevated service account permissions","Excessive account privileges, Elevated service account permissions","Excessive account privileges, Elevated service account permissions","Excessive account privileges, Elevated service account permissions",3-UBA].[40,3-UBA].[40,3-UBA].[40,3-UBA].[40,"Excessive account privileges, Elevated service account permissions, and Implement authentication, authorization, and accounting (AAA) systems","Excessive account privileges, Elevated service account permissions, and Implement authentication, authorization, and accounting (AAA) systems","Excessive account privileges, Elevated service account permissions, and Implement authentication, authorization, and accounting (AAA) systems","Excessive account privileges, Elevated service account permissions, and Implement authentication, authorization, and accounting (AAA) systems"
icsa-23-222-07_chunk_0.txt,512,,RISK EVALUATION ​Successful exploitation of this vulnerability could allow an attacker to recover sensitive data,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,SIMATIC S7-1500 CPU 1513-1 PN,"6, 2021","6, 2021","6, 2021",EXECUTIVE SUMMARY CVSS v3 7.4 ATTENTION: Exploitable remotely,a .NET DLL that is designed to invoke PowerShell to download and execute a file,Figure 2 shows the alleged number of victims worldwide on LockBit leak sites starting in Q3 2020,Table 3: Resource Development Technique Title ID Use Acquire Infrastructure: Botnet T1583.005 Actors used User-Agent string Hello World as an initial step of the Mirai botnet to later download malicious artifacts
aa23-213a_chunk_2.txt,512,,perform arbitrary file writes to the EPMM server,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,"EPMM devices to other internal servers, as well","6, 2021","6, 2021","6, 2021",TRUE,a .NET DLL that is designed to invoke PowerShell to download and execute a file,TRUE,Table 3: Resource Development Technique Title ID Use Acquire Infrastructure: Botnet T1583.005 Actors used User-Agent string Hello World as an initial step of the Mirai botnet to later download malicious artifacts
icsa-24-102-08_chunk_5.txt,512,,excessively large P and Q parameters,excessively large P and Q parameters,excessively large P and Q parameters,excessively large P and Q parameters,score of 7,score of 7,score of 7,score of 7,"performs a check for an excessively large P, it doesn't check for an excessively large Q","performs a check for an excessively large P, it doesn't check for an excessively large Q","performs a check for an excessively large P, it doesn't check for an excessively large Q","performs a check for an excessively large P, it doesn't check for an excessively large Q"
icsa-23-222-07_chunk_3.txt,512,,confusion,critical,critical,critical,2.9,7.8 has been assigned,7.8 has been assigned,7.8 has been assigned,CWE-20 There is a type confusion vulnerability relating to X.400 address processing inside an X.509 GeneralName,CVE-2022-40303,CVE-2022-2588,CVE-2022-2588
icsa-24-074-07_chunk_4.txt,512,,local escalation of privilege with no additional execution privileges needed,high attack complexity,local escalation of privilege with no additional execution privileges needed,local escalation of privilege with no additional execution privileges needed,3,CISA at this,3,3,3.2.26 INCORRECT PERMISSION ASSIGNMENT FOR CRITICAL RESOURCE CWE-732,"Microsoft Security Update Guide: Windows Print Spooler Remote Code Execution Vulnerability, CVE-2021-40444",3.2.26 INCORRECT PERMISSION ASSIGNMENT FOR CRITICAL RESOURCE CWE-732,3.2.26 INCORRECT PERMISSION ASSIGNMENT FOR CRITICAL RESOURCE CWE-732
icsa-24-046-15_chunk_11.txt,512,,can bypass the policy mechanism and require modules outside of the policy,can bypass the policy mechanism and require modules outside of the policy,can bypass the policy mechanism and require modules outside of the policy,can bypass the policy mechanism and require modules outside of the policy,3,3,3,3,externally use ares_inet_net_pton() for other purposes,externally use ares_inet_net_pton() for other purposes,externally use ares_inet_net_pton() for other purposes,externally use ares_inet_net_pton() for other purposes
aa20-245a_chunk_9.txt,512,,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,product is provided subject,product is provided subject,product is provided subject,product is provided subject,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy,This product is provided subject to this Notification and this Privacy & Use policy
aa23-144a_chunk_6.txt,512,,to include “audit process creation,to include “audit process creation,to include “audit process creation,to include “audit process creation,.g,.g,.g,.g,to be able to identify potential exploitation and lateral movement,to be able to identify potential exploitation and lateral movement,to be able to identify potential exploitation and lateral movement,to be able to identify potential exploitation and lateral movement
